baseline,queries,recall_at_5,recall_at_20,mrr,ndcg_at_10,answer_correctness_proxy,citation_validity_proxy,correct_refusal_rate,over_refusal_rate,latency_p50_ms,latency_p95_ms,cost_per_query_usd
B0_closed_book_refusal,40,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.001,0.0
B1_bm25,40,1.0,1.0,0.9770114942528735,0.9827586206896551,1.0,1.0,0.0,0.0,14.691,19.0738,0.0
B2_dense_naive,40,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.9655172413793104,0.0,0.0,21.507,36.30364999999999,0.0
B3_final,40,1.0,1.0,1.0,1.0,1.0,1.0,0.09090909090909091,0.0,1328.3925,1532.0656999999997,0.0
