baseline,queries,recall_at_5,recall_at_20,mrr,ndcg_at_10,answer_correctness,citation_validity,correct_refusal_rate,failure_to_refuse_rate,mean_returned_documents,latency_p50_ms,latency_p95_ms,cost_per_query_usd
B0_closed_book_refusal,40,,,,,,,1.0,0.0,0.0,0.001,0.0021499999999999913,0.0
B1_bm25,40,,,,,,,0.0,1.0,20.0,13.501000000000001,19.8402,0.0
B2_dense_naive,40,,,,,,,0.2,0.8,19.95,14.568999999999999,23.271,0.0
B3_final,40,,,,,,,0.975,0.025000000000000022,19.925,735.2529999999999,1156.76075,0.0
